AF-0005;Khost International Airport (U.C.);Afghanistan
AGGH;Honiara International Airport;Solomon Islands
AGGM;Munda Airport;Solomon Islands
AHJ;Hongyuan Airport;China
ANYN;Nauru International Airport;Nauru
AXF;Alxa Left Banner Bayanhot Airport;China
AYBK;Buka Airport;Papua New Guinea
AYCH;Chimbu Airport;Papua New Guinea
AYDU;Daru Airport;Papua New Guinea
AYGA;Goroka Airport;Papua New Guinea
AYGN;Gurney Airport;Papua New Guinea
AYGR;Girua Airport;Papua New Guinea
AYHK;Kimbe Airport;Papua New Guinea
AYKM;Kerema Airport;Papua New Guinea
AYKV;Kavieng Airport;Papua New Guinea
AYMD;Madang Airport;Papua New Guinea
AYMH;Mount Hagen Kagamuga Airport;Papua New Guinea
AYMN;Mendi Airport;Papua New Guinea
AYMO;Momote Airport;Papua New Guinea
AYNZ;Nadzab Airport;Papua New Guinea
AYPY;Port Moresby Jacksons International Airport;Papua New Guinea
AYTK;Tokua Airport;Papua New Guinea
AYVN;Vanimo Airport;Papua New Guinea
AYWD;Wapenamanda Airport;Papua New Guinea
AYWK;Wewak International Airport;Papua New Guinea
AZ-0001;Zabrat Airport;Azerbaijan
AZ-0013;Sital Chay Airport;Azerbaijan
AZ-0021;Kyzylagadzh Air Base;Azerbaijan
BCW;Benguera Island Airport;Mozambique
BG-JAM;Bezmer Air Base;Bulgaria
BGAA;Aasiaat Airport;Greenland
BGBW;Narsarsuaq Airport;Greenland
BGGH;Godthaab / Nuuk Airport;Greenland
BGSF;Kangerlussuaq Airport;Greenland
BGSS;Sisimiut Airport;Greenland
BGTL;Thule Air Base;Greenland
BIAR;Akureyri Airport;Iceland
BIEG;EgilsstaÃƒÂ°ir Airport;Iceland
BIHN;HornafjürÃƒÂ°ur Airport;Iceland
BIHU;HÃƒÂºsavÃƒÂ­k Airport;Iceland
BIIS;ÃƒÂsafjürÃƒÂ°ur Airport;Iceland
BIKF;Keflavik International Airport;Iceland
BIRK;Reykjavik Airport;Iceland
BISI;SiglufjürÃƒÂ°ur Airport;Iceland
BIVM;Vestmannaeyjar Airport;Iceland
BKPR;Pristina International Airport;Kosovo
BR-0569;Glauber de Andrade Rocha Airport;Brazil
BY-0001;Balbasovo Air Base;Belarus
BY-0003;Bobrovichi Air Base;Belarus
BY-0006;Osovtsy Air Base;Belarus
BZ-BGK;Big Creek Airport;Belize
BZ-CUK;Caye Caulker Airport;Belize
BZ-CYC;Caye Chapel Airport;Belize
BZ-CZH;Corozal Municipal Airport;Belize
BZ-DGA;Dangriga Airport;Belize
BZ-PLJ;Placencia Airport;Belize
BZ-PND;Punta Gorda Airport;Belize
BZ-SJX;Sartaneja Airport;Belize
BZ-SPR;San Pedro Airport;Belize
BZ-TZA;Belize City Municipal Airport;Belize
BZB;Bazaruto Island Airport;Mozambique
CA-0673;Cycd;Canada
CN-0002;Nanjing Air Base;China
CN-0003;Laohutun Air Base;China
CN-0004;Pulandian Air Base;China
CN-0006;Beijing Shahezhen Air Base;China
CN-0007;Beijing Tongxian Air Base;China
CN-0010;Yinchuan Hedong International Airport;China
CN-0011;Duplicate --Yantai Penglai International Airport;China
CN-0012;Yuanmou Air Base;China
CN-0013;Fengning Air Base;China
CN-0014;Hohhot Air Base;China
CN-0015;Huairen Air Base;China
CN-0016;Liangxiangzhen Air Base;China
CN-0018;Tangguantun Air Base;China
CN-0020;Wenshui Air Base;China
CN-0021;Yangcun Air Base;China
CN-0022;Yongning Air Base;China
CN-0024;Zhangjiakou Ningyuan Airport;China
CN-0025;Zunhua Air Base;China
CN-0026;Chengdu Air Base;China
CN-0027;Baoshan Yunduan Airport;China
CN-0030;Chongqing Air Base;China
CN-0040;Lintsang Airfield;China
CN-0041;Luliang Air Base;China
CN-0043;Mengzi Air Base;China
CN-0045;Qionglai Air Base;China
CN-0046;Shigatse Air Base;China
CN-0048;Wenshan Air Base;China
CN-0049;Xiangyun Midu Air Base;China
CN-0050;Bao'anying Airport;China
CN-0053;Baihe Ning Ming Air Base;China
CN-0055;Changsha Datuopu Airport/AFB;China
CN-0056;Dangyang Air Base;China
CN-0057;Foluo Northeast Air Base;China
CN-0061;Foshan Shadi Airport;China
CN-0063;Guiping Mengshu Air Base;China
CN-0067;Xinyang Minggang Airport;China
CN-0068;Huizhou Airport;China
CN-0069;Jialaishi Air Base;China
CN-0071;Leiyang Air Base;China
CN-0072;Lingshui Air Base;China
CN-0074;Shangqiu Air Base;China
CN-0076;Zhengzhou Air Base;China
CN-0079;Shaoguan Guitou Airport;China
CN-0080;Suixi Air Base;China
CN-0081;Jinggangshan Airport;China
CN-0082;Baise Youjiang Airport;China
CN-0083;Guodu air base;China
CN-0085;Xiaogan Air Base;China
CN-0089;Baitabu Air Base;China
CN-0090;Cangxian Air Base;China
CN-0091;Dongying Shengli Airport;China
CN-0092;Jiaozhou/Jiaocheng Air Base;China
CN-0093;Jinan Air Base;China
CN-0094;Jiugucheng Air Base;China
CN-0095;Kaifeng Air Base;China
CN-0096;Laiyang Air Base;China
CN-0097;Luyang Air Base;China
CN-0100;Qingdao-Cangkou Air Base;China
CN-0103;Wendeng Air Base;China
CN-0104;Xingcheng Air Base;China
CN-0105;Xuzhou Daguozhang Air Base;China
CN-0106;Xuzhou Jiulishan Air Base;China
CN-0109;Yidu Air Base;China
CN-0111;Zhucheng Air Base;China
CN-0113;Altay Air Base;China
CN-0114;Baoji Air Base;China
CN-0117;Gonghe Air Base;China
CN-0123;Lanzhou Air Base;China
CN-0125;Ljtao Air Base;China
CN-0127;Qingshui Air Base;China
CN-0130;Tianshui Maijishan Airport;China
CN-0132;Urumqi South Air Base;China
CN-0133;Uxxaktal Air Base;China
CN-0134;Wugong Air Base;China
CN-0135;Wulumuqi Air Base;China
CN-0136;Wuwei Air Base;China
CN-0137;Xian Air Base;China
CN-0138;Xincheng Air Base;China
CN-0139;Yaerbashi Test Range;China
CN-0140;Yanliang Air Base;China
CN-0143;Zhangye Ganzhou Airport;China
CN-0145;Changzing Air Base;China
CN-0146;Daishan Air Base;China
CN-0147;Feidong Air Base;China
CN-0149;Fuzhou Air Base;China
CN-0152;Huian Air Base;China
CN-0153;Jianqiao/Hangzhou Airfield;China
CN-0154;Jiaxing Air Base;China
CN-0158;Longtian/Lung-T'ien Air Base;China
CN-0159;Longyou Air Base;China
CN-0161;Mahuiling Air Base;China
CN-0162;Nanchang New Airfield;China
CN-0163;Nanchang Xiangtang Air Base;China
CN-0165;Ningbo Zhangqiao Air Base;China
CN-0169;Shanghai Dachang Air Base;China
CN-0182;Zhangshu Air Base;China
CN-0185;Changchun Air Base;China
CN-0187;Chifeng Air Base;China
CN-0189;Dandong Airport;China
CN-0190;Dingxin/Shuangchengzi Air Base;China
CN-0191;Fuxin Air Base;China
CN-0192;Gongzhuling Air Base;China
CN-0193;Harbin Air Base;China
CN-0197;Kaiyuan Air Base;China
CN-0198;Lalin Air Base;China
CN-0201;Pingquan Air Base;China
