A1;Douglas;AD-1 / A-1 / EA-1 Skyraider
A10;Fairchild;A-10 Thunderbolt 2
A109;Agusta / AgustaWestland;A-109
A119;Agusta / AgustaWestland;A-119 Koala
A124;Antonow / Antonov;An-124 Ruslan
A129;Agusta / AgustaWestland;A-129 Mangusta
A139;Agusta / AgustaWestland;AB139 / AW139
A140;Antonow / Antonov;An-140
A140;HESA;IRAN-140 Faraz
A148;Antonow / Antonov;An-148
A20;Douglas;A-20 Havoc
A225;Antonow / Antonov;An-225 Mriya
A270;AERO;Ae-270 Ibis
A270;Ibis;Ae-270 Ibis
A2RT;Kazan;Ansat 2RT
A3;Douglas;A-3 Skywarrior
A306;Airbus;A300B4-600 /C4-600 / F4-600
A30B;Airbus;A300B2 / B4 / C4 / F4
A310;Airbus;A310 / CC-150 Polaris
A318;Airbus;A318
A319;Airbus;A319
A320;Airbus;A320
A321;Airbus;A321
A332;Airbus;A330-200
A333;Airbus;A330-300
A342;Airbus;A340-200
A343;Airbus;A340-300
A345;Airbus;A340-500
A346;Airbus;A340-600
A358;Airbus;A350-800
A359;Airbus;A350-900
A37;Cessna;318 / A-37 Dragonfly
A388;Airbus;A380-800
A3ST;Airbus;A300-600ST Beluga
A4;Douglas;A-4 Skyhawk
A50;Beriev;A-50
A500;Adam;A-500
A504;AVRO;504
A6;Grumman;A-6 Intruder
A6;Grumman;EA-6 Prowler
A660;Ayres;S-2R-T660 Turbo Thrush
A660;Thrush;S-2R-T660 Turbo Thrush
A7;Chance-Vought;A-7 Corsair 2
A7;LTV;A-7 Corsair 2
A700;Adam;A-700 AdamJet
A743;Antonow / Antonov;An-74-300
A748;AVRO;748
A748;BAe;BAe-748
A748;Hawker-Siddeley;HS-748 Andover
A9;Aero Commander;A-9 Ag Commander
A9;North American Rockwell;A-9 Quail Commander
AA1;American;AA-1
AA5;American;AA-5
AA5;AGAC;AG-5 Tiger
AB11;Aero Boero;AB-115
AB15;Aero Boero;AB-150
AB18;Aero Boero;AB-180
AB95;Aero Boero;AB-95
AC11;North American Rockwell;112 Commander 112
AC11;Rockwell;112 Commander 112
AC11;Rockwell;114 Commander 114
AC11;Commander;Commander 114
AC11;Commander;Commander 115
AC50;Aero Commander;500 Commander 500
AC50;North American Rockwell;500 Commander 500
AC50;North American Rockwell;500 Shrike Commander
AC50;Rockwell;500 Shrike Commander
AC56;Aero Commander;560 Commander 560
AC68;Aero Commander;680F Commander
AC6L;North American Rockwell;680FL Courser Commander
AC6L;Aero Commander;680FL Grand Commander
AC6L;North American Rockwell;685 Commander
AC6L;Rockwell;685 Commander
